case_id,time_s,eta_prime_m,incident_eta_prime_m,reflected_eta_prime_m,linear_inlet_velocity_m_per_s,c0_m_per_s
production_lateral,5.3,3.115382373302678e-05,2.898526359747338e-33,3.115382373302678e-05,6.89853224031135e-05,4.428690551393267
production_lateral,5.3100000000000005,2.8677038770787413e-05,2.0612336258823987e-33,2.8677038770787413e-05,6.35008653230623e-05,4.428690551393267
production_lateral,5.32,2.6375622751978045e-05,1.4646122323251704e-33,2.6375622751978045e-05,5.840473563439922e-05,4.428690551393267
production_lateral,5.33,2.4239106977793272e-05,1.0398329357946891e-33,2.4239106977793272e-05,5.367375202338183e-05,4.428690551393267
production_lateral,5.34,2.2257479509343802e-05,7.376493351332369e-34,2.2257479509343802e-05,4.928574460043007e-05,4.428690551393267
production_lateral,5.3500000000000005,2.04211795086801e-05,5.2285566192969215e-34,2.04211795086801e-05,4.5219542369198674e-05,4.428690551393267
production_lateral,5.36,1.8721090276229904e-05,3.7030463597763827e-34,1.8721090276229904e-05,4.145495780905987e-05,4.428690551393267
production_lateral,5.37,1.7148531123838424e-05,2.620486682597978e-34,1.7148531123838424e-05,3.7972768879208296e-05,4.428690551393267
production_lateral,5.38,1.5695248217549658e-05,1.8528925648275287e-34,1.5695248217549658e-05,3.475469874141709e-05,4.428690551393267
production_lateral,5.39,1.4353404518783363e-05,1.309073387810689e-34,1.4353404518783363e-05,3.178339348633065e-05,4.428690551393267
production_lateral,5.4,1.3115568946740947e-05,9.241090504456541e-35,1.3115568946740947e-05,2.9042398135289284e-05,4.428690551393267
production_lateral,5.41,1.1974704878768715e-05,6.518203677532239e-35,1.1974704878768715e-05,2.651613117616293e-05,4.428690551393267
production_lateral,5.42,1.092415809908975e-05,4.5938636858482263e-35,1.092415809908975e-05,2.4189857877682502e-05,4.428690551393267
production_lateral,5.43,9.957644299855159e-06,3.2349960544143684e-35,9.957644299855159e-06,2.204966261245178e-05,4.428690551393267
production_lateral,5.44,9.069236231904963e-06,2.2762233825766494e-35,9.069236231904963e-06,2.008242040429549e-05,4.428690551393267
production_lateral,5.45,8.253350596039334e-06,1.6003002726959854e-35,8.253350596039334e-06,1.827576790100769e-05,4.428690551393267
production_lateral,5.46,7.504734759016805e-06,1.1241740398003033e-35,7.504734759016805e-06,1.6618073958985176e-05,4.428690551393267
production_lateral,5.47,6.818453371975884e-06,7.890619451353921e-36,6.818453371975884e-06,1.5098410011792577e-05,4.428690551393267
production_lateral,5.48,6.189874962547332e-06,5.5339358357829415e-36,6.189874962547332e-06,1.370652038046956e-05,4.428690551393267
production_lateral,5.49,5.614658565634971e-06,3.877953648216527e-36,5.614658565634971e-06,1.2432792669463432e-05,4.428690551393267
